team,wins,probability
Spain,1644,0.3288
Argentina,1089,0.2178
England,383,0.0766
France,375,0.075
Brazil,209,0.0418
Portugal,199,0.0398
Ecuador,151,0.0302
Colombia,141,0.0282
Paraguay,135,0.027
Croatia,134,0.0268
Uruguay,122,0.0244
Netherlands,90,0.018
Japan,62,0.0124
Germany,61,0.0122
Morocco,46,0.0092
Mexico,35,0.007
Switzerland,32,0.0064
Norway,21,0.0042
Senegal,19,0.0038
Turkey,19,0.0038
Australia,14,0.0028
Scotland,4,0.0008
Algeria,4,0.0008
Egypt,3,0.0006
Belgium,2,0.0004
Canada,2,0.0004
South Africa,1,0.0002
Iraq,1,0.0002
Panama,1,0.0002
Tunisia,1,0.0002
